# {"t_start": 1550232864.192254, "env_id": "CarnivalNoFrameskip-v4"} 
r,l,t
680.0,615,28113.399809
960.0,854,28153.041875
60.0,431,28172.696585
480.0,522,28196.579391
240.0,696,28229.066217
1260.0,455,28250.136606
880.0,430,28269.890581
700.0,910,28311.7545
660.0,779,28346.907982
560.0,431,28366.049163
640.0,514,28388.626044
900.0,632,28416.91185
1180.0,860,28456.805187
740.0,702,28488.996511
860.0,1163,28542.058146
1160.0,607,28569.7509
1100.0,633,28598.631044
340.0,602,28626.506538
1000.0,715,28659.712779
580.0,783,28696.528698
560.0,436,28716.718236
940.0,483,28739.303802
60.0,500,28762.177987
360.0,530,28786.427404
260.0,489,28808.676179
500.0,705,28841.350692
40.0,509,28864.866614
840.0,560,28890.449509
800.0,505,28913.321478
300.0,510,28936.66248
1000.0,620,28965.177538
1300.0,719,28998.742271
840.0,621,29027.49886
300.0,688,29057.986406
720.0,632,29086.318432
800.0,607,29113.693228
460.0,1331,29174.803661
1040.0,398,29193.486554
1500.0,691,29225.412453
0.0,751,29260.214658
340.0,353,29276.551702
580.0,346,29292.665367
1740.0,568,29318.556705
1460.0,604,29346.902301
1160.0,1047,29395.027302
