# {"t_start": 1550232858.508675, "env_id": "AssaultNoFrameskip-v4"} 
r,l,t
504.0,1114,27112.678051
483.0,1054,27158.773807
504.0,941,27200.118176
525.0,984,27243.414835
399.0,593,27270.421041
651.0,1119,27321.254741
609.0,1001,27366.350201
462.0,900,27405.815679
504.0,981,27449.869498
567.0,861,27488.905636
483.0,987,27533.721408
399.0,768,27567.528772
420.0,791,27602.793885
483.0,1092,27651.443316
588.0,1247,27706.990602
546.0,1218,27761.808503
609.0,993,27805.736467
483.0,933,27846.687195
609.0,1101,27895.868564
483.0,1025,27941.176838
483.0,933,27982.866696
483.0,1356,28042.806747
462.0,810,28078.628864
105.0,258,28089.618889
483.0,877,28128.031366
546.0,1215,28181.779064
294.0,545,28206.037948
315.0,730,28237.986546
357.0,620,28264.884648
399.0,895,28304.848719
399.0,705,28336.961481
567.0,1438,28403.086923
441.0,1054,28448.359424
651.0,1096,28497.062792
399.0,605,28524.075796
546.0,1109,28573.182928
546.0,1059,28619.699555
399.0,669,28648.65214
504.0,948,28690.459823
462.0,1074,28738.897106
525.0,866,28777.284419
504.0,1206,28830.291842
399.0,831,28866.832811
672.0,1156,28917.540567
273.0,699,28948.453097
315.0,738,28981.111089
588.0,895,29020.692426
588.0,1018,29065.861468
546.0,1338,29125.01196
462.0,659,29154.077494
378.0,669,29183.469676
420.0,767,29218.138565
651.0,1412,29281.722456
441.0,701,29312.325436
724.0,1220,29365.898336
483.0,844,29402.91248
399.0,737,29434.944507
462.0,672,29465.025894
798.0,1316,29523.427552
693.0,1283,29578.714109
504.0,845,29614.593782
525.0,1203,29668.711092
504.0,1154,29719.217798
630.0,1116,29768.112432
630.0,905,29807.913752
483.0,796,29842.815614
588.0,1481,29908.596808
483.0,929,29950.365396
702.0,1382,30011.995281
462.0,1367,30072.222784
630.0,960,30115.099074
441.0,775,30149.240605
336.0,801,30185.309569
525.0,741,30218.030814
609.0,1149,30269.060759
588.0,1167,30321.717383
357.0,704,30352.984379
378.0,776,30388.679779
588.0,1604,30461.912367
399.0,575,30487.482927
420.0,917,30527.938632
273.0,575,30552.350457
651.0,961,30594.184346
399.0,1120,30642.583805
315.0,486,30663.37134
378.0,890,30701.568691
672.0,1180,30753.967557
630.0,771,30788.310212
609.0,831,30824.808486
273.0,523,30847.814189
357.0,778,30881.679065
672.0,1216,30935.28827
504.0,1022,30980.175483
546.0,1060,31027.318678
630.0,1089,31075.589081
399.0,672,31105.234714
399.0,641,31133.284046
399.0,637,31160.834322
609.0,1055,31206.934286
630.0,907,31247.063227
630.0,916,31287.523686
420.0,685,31316.758445
693.0,1086,31362.552133
84.0,290,31374.715065
315.0,896,31412.686578
504.0,642,31439.922697
420.0,927,31480.283659
609.0,1202,31533.280391
525.0,869,31571.186864
420.0,571,31595.434875
462.0,701,31625.764841
651.0,1103,31674.817013
651.0,1262,31730.666657
672.0,1097,31779.250984
399.0,959,31822.32342
546.0,1057,31869.600957
672.0,1114,31920.371666
399.0,891,31959.104421
504.0,768,31992.817689
588.0,931,32034.139385
336.0,831,32070.340976
441.0,636,32098.481434
483.0,762,32132.414555
357.0,685,32162.911983
357.0,668,32191.965734
630.0,1194,32244.506671
525.0,1125,32294.016041
609.0,1367,32355.983992
462.0,669,32385.307169
420.0,661,32414.59154
378.0,677,32444.588707
693.0,839,32481.504603
252.0,626,32509.209804
315.0,636,32537.210078
462.0,1183,32590.394759
546.0,817,32625.874406
399.0,654,32655.003824
703.0,1261,32712.094787
294.0,638,32741.167033
672.0,1089,32789.901777
483.0,766,32823.825141
273.0,461,32844.093729
504.0,749,32877.356358
609.0,932,32918.414326
399.0,736,32950.715822
630.0,1183,33002.499795
315.0,577,33028.269971
357.0,576,33054.230085
651.0,1221,33107.513873
630.0,1046,33153.431042
651.0,1295,33212.779905
252.0,592,33238.782408
378.0,570,33264.009182
651.0,1068,33312.300905
672.0,1126,33362.021644
462.0,705,33393.83695
483.0,938,33436.277662
525.0,1124,33486.564455
504.0,988,33530.274845
357.0,477,33551.169807
252.0,515,33573.767699
567.0,919,33614.535912
504.0,1120,33663.877132
462.0,897,33704.338999
567.0,1121,33754.32337
567.0,849,33791.489358
588.0,1219,33845.487916
672.0,1221,33899.573417
378.0,637,33927.908155
609.0,896,33967.914676
504.0,798,34002.956845
483.0,892,34042.736346
378.0,705,34073.95889
787.0,1251,34129.310444
588.0,1157,34180.831702
441.0,738,34214.167006
525.0,791,34249.808645
231.0,450,34270.096138
483.0,1150,34321.281191
693.0,999,34365.94947
273.0,534,34389.987283
504.0,1021,34435.03273
588.0,950,34475.776042
546.0,995,34519.057905
651.0,1158,34570.342708
672.0,1121,34620.966079
588.0,1020,34665.870557
672.0,1324,34725.048827
693.0,1281,34781.973353
640.0,1387,34843.720814
661.0,1128,34894.241401
651.0,1021,34939.744711
630.0,1183,34992.631634
399.0,785,35027.827731
441.0,639,35056.770472
609.0,1105,35106.352544
735.0,1343,35166.625936
462.0,796,35201.527852
609.0,1168,35253.002467
336.0,544,35276.624592
630.0,896,35316.063704
714.0,1000,35360.231269
462.0,860,35398.944595
714.0,1099,35448.215997
630.0,1095,35497.383363
378.0,700,35528.403383
714.0,1126,35578.207023
441.0,924,35618.756658
630.0,1165,35670.746372
483.0,804,35707.683776
504.0,934,35748.586097
651.0,1050,35794.882127
399.0,673,35824.831033
336.0,766,35858.683493
441.0,743,35891.90981
441.0,910,35932.549827
483.0,1381,35994.479342
640.0,1216,36048.212494
420.0,725,36080.054752
651.0,1439,36144.549184
441.0,865,36182.803576
609.0,1054,36229.722491
672.0,931,36270.257383
609.0,895,36309.574864
546.0,672,36339.137793
378.0,747,36371.479326
693.0,965,36413.758675
672.0,1502,36479.736975
483.0,594,36505.387557
525.0,993,36548.799869
786.0,1246,36603.443017
630.0,1019,36648.73057
693.0,1091,36696.672006
462.0,595,36722.944057
504.0,1015,36767.852496
273.0,444,36787.304103
661.0,1152,36838.599504
462.0,668,36867.810581
462.0,700,36898.448019
462.0,829,36934.832853
462.0,704,36966.066985
420.0,544,36989.792756
703.0,1315,37047.616944
504.0,807,37082.990779
399.0,717,37114.36276
336.0,650,37143.286748
651.0,1217,37196.887053
399.0,768,37230.758282
504.0,1024,37275.691189
672.0,1053,37322.722748
420.0,867,37360.61552
651.0,1020,37404.884054
693.0,1186,37457.053061
630.0,992,37500.730523
567.0,870,37538.961418
294.0,561,37563.542127
651.0,1009,37608.659595
735.0,1276,37664.36315
189.0,320,37678.077252
734.0,1086,37725.929594
588.0,910,37766.585274
724.0,962,37809.937932
546.0,897,37849.319528
546.0,771,37883.073759
546.0,819,37919.951342
672.0,1352,37980.308928
357.0,576,38005.527235
693.0,1091,38053.66088
399.0,701,38084.543925
588.0,852,38122.533099
420.0,896,38161.596967
651.0,1092,38210.418547
462.0,671,38240.513428
546.0,923,38281.085753
420.0,509,38303.087857
630.0,1226,38356.734501
504.0,692,38387.058785
504.0,842,38423.968052
693.0,1123,38473.694638
682.0,910,38514.075669
567.0,930,38555.030288
651.0,1124,38605.671235
441.0,737,38639.828026
441.0,832,38676.90753
588.0,1253,38732.61451
693.0,1080,38780.993011
672.0,1258,38837.069828
630.0,1158,38888.342895
672.0,1001,38932.537704
504.0,755,38966.005216
525.0,898,39006.077551
441.0,714,39037.287143
483.0,989,39080.788114
294.0,686,39111.255723
441.0,1024,39156.150311
315.0,540,39180.220166
504.0,741,39212.624161
441.0,696,39242.97673
828.0,1216,39296.87582
672.0,1032,39342.585543
483.0,711,39373.990711
189.0,385,39390.731802
567.0,887,39430.553396
609.0,1222,39485.196056
630.0,960,39528.189402
441.0,839,39566.053303
336.0,517,39588.79003
462.0,797,39624.754649
630.0,1132,39674.542376
630.0,1259,39729.807042
630.0,1092,39777.700711
315.0,461,39798.283314
630.0,1073,39846.107563
504.0,810,39881.601849
797.0,1259,39937.808861
682.0,1358,39999.439259
441.0,751,40032.488045
672.0,1153,40086.042769
525.0,1153,40135.827637
630.0,996,40179.375427
609.0,1037,40224.97131
378.0,543,40248.892683
189.0,348,40264.035814
672.0,1130,40312.798501
546.0,909,40351.558139
462.0,917,40390.878977
378.0,737,40423.466877
399.0,695,40454.486848
231.0,480,40475.412429
